id,step,method,type,mutation,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal,sizes,sizew
0,3,Naive,3,RC,1.6666666666666667,0.0,0.0,5.0,12.0,0.0,0.0,0.0,1.6666666666666667,NaN
0,3,onlySelection,3,RC,1.6666666666666667,0.0,0.0,5.0,12.0,1.0,0.0,1.0,1.6666666666666667,NaN
0,3,ATGT,3,RC,1.6666666666666667,0.0,0.0,5.0,12.0,0.0,4080.3333333333335,4080.3333333333335,1.6666666666666667,NaN
0,3,Espresso,3,RC,1.6666666666666667,0.0,0.0,5.0,12.0,0.3333333333333333,260.3333333333333,260.6666666666667,1.6666666666666667,NaN
0,3,JBool,3,RC,1.6666666666666667,0.0,0.0,5.0,12.0,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,NaN
0,3,QM,3,RC,1.6666666666666667,0.0,0.0,5.0,12.0,1.3333333333333333,102.66666666666667,104.0,1.6666666666666667,NaN
0,19,Naive,1,RL,3.8947368421052633,0.0,52.42857142857143,5.2105263157894735,47.421052631578945,0.0,0.0,0.0,2.0,4.0
0,19,onlySelection,1,RL,3.8947368421052633,0.0,9.571428571428571,5.2105263157894735,18.36842105263158,0.10526315789473684,0.10526315789473684,0.7142857142857143,2.0,4.0
0,19,ATGT,1,RL,3.8947368421052633,0.0,6.857142857142857,5.2105263157894735,17.105263157894736,0.21052631578947367,1630.157894736842,4425.428571428572,2.0,4.0
0,19,Espresso,1,RL,3.8947368421052633,0.0,9.571428571428571,5.2105263157894735,18.36842105263158,0.10526315789473684,107.36842105263158,292.0,2.0,4.0
0,19,JBool,1,RL,3.8947368421052633,0.0,7.857142857142857,5.2105263157894735,17.789473684210527,0.05263157894736842,1.4210526315789473,4.142857142857143,2.0,4.0
0,19,QM,1,RL,3.8947368421052633,0.0,6.428571428571429,5.2105263157894735,16.94736842105263,0.15789473684210525,45.1578947368421,123.28571428571429,2.0,4.0
0,16,Naive,2,SL,3.625,0.0,39.25,5.625,50.125,0.0,0.0,0.0,1.0,4.0
0,16,onlySelection,2,SL,3.625,0.0,7.25,5.625,19.125,0.0625,0.0,0.125,1.0,4.0
0,16,ATGT,2,SL,3.625,0.0,5.625,5.625,17.8125,0.1875,1669.125,3338.625,1.0,4.0
0,16,Espresso,2,SL,3.625,0.0,7.25,5.625,19.125,0.0,109.0,218.0,1.0,4.0
0,16,JBool,2,SL,3.625,0.0,7.0,5.625,19.0,0.125,0.875,2.0,1.0,4.0
0,16,QM,2,SL,3.625,0.0,5.5,5.625,17.75,0.125,56.375,113.375,1.0,4.0
