step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
0,OnlySelec,OR,35,38,150,233,3433,105.0,11.0,0,0,0
0,JBool,OR,35,36,104,158,2291,226.0,-64.0,0,0,0
1,OnlySelec,OR,35,38,185,284,4335,152.0,62.0,0,0,0
1,JBool,OR,35,36,98,146,2181,226.0,-76.0,0,0,0
2,OnlySelec,AND,1,38,186,287,4358,156.0,65.0,25025028,82799,0
2,JBool,AND,1,36,96,143,2153,226.0,-79.0,9119910,71568938,0
3,OnlySelec,OR,36,38,222,335,5289,201.0,113.0,25025028,82799,0
3,JBool,OR,36,36,132,191,3084,233.0,-31.0,9119910,71568938,0
4,OnlySelec,AND,2,38,224,340,5350,207.0,118.0,30567390,70011,0
4,JBool,AND,2,36,134,196,3145,234.0,-26.0,16000577,10465041778,0
5,OnlySelec,AND,1,38,225,343,5375,210.0,121.0,42876210,53218,0
5,JBool,AND,1,36,135,197,3166,234.0,-25.0,11088438,9490950454,0
6,OnlySelec,OR,36,38,261,389,6304,253.0,167.0,42876210,53218,0
6,JBool,OR,36,36,145,214,3726,233.0,-8.0,11088438,9490950454,0
7,OnlySelec,OR,35,38,296,430,7196,290.0,208.0,42876210,53218,0
7,JBool,OR,35,36,180,255,4618,261.0,33.0,11088438,9490950454,0
8,OnlySelec,AND,1,38,297,433,7223,294.0,211.0,40559676,49828,0
8,JBool,AND,1,36,176,267,4643,251.0,45.0,16231313,9893025005,0
9,OnlySelec,OR,35,38,332,476,8117,334.0,254.0,40559676,49828,0
9,JBool,OR,35,36,144,211,3715,234.0,-11.0,16231313,9893025005,0
10,OnlySelec,AND,1,38,333,479,8145,338.0,257.0,36374520,48119,0
10,JBool,AND,1,36,139,204,3596,232.0,-18.0,8993643,101545760,0
11,OnlySelec,AND,1,38,334,482,8179,341.0,260.0,35527976,36049,0
11,JBool,AND,1,36,134,197,3471,231.0,-25.0,8896594,96708247,0
12,OnlySelec,AND,1,38,335,486,8209,344.0,264.0,31417534,39904,0
12,JBool,AND,1,36,129,189,3350,230.0,-33.0,7734100,72303599,0
13,OnlySelec,AND,2,38,337,489,8276,347.0,267.0,38120538,53097,0
13,JBool,AND,2,36,131,192,3417,232.0,-30.0,6425977,79896699,0
14,OnlySelec,AND,2,38,337,489,8276,347.0,267.0,38120538,53097,0
14,JBool,AND,2,36,131,192,3417,232.0,-30.0,6425977,79896699,0
